"key","vi","en"
"<!--  Common  -->"
"txt_cancel","Hủy","Cancel"
"txt_send","Gửi","Send"
"txt_create_group_failed","Tạo nhóm thất bại","Create group failed"
"txt_message","Nhắn tin","Message"
"txt_reply","Trả lời","Reply"
"txt_copy","Copy","Copy"
"txt_share","Chia sẻ","Share"
"txt_delete","Xóa","Delete"
"txt_search","Tìm kiếm","Search"
"<!--  Account  -->"
"account_title","Tài khoản","Account"
"account_profile","Hồ sơ cá nhân","Profile"
"account_setting","Cài đặt thông báo","Setting"
"account_name_placeholder","Nhập tên đại diện","Enter your name"
"account_phone_placeholder","Nhập số điện thoại","Enter your phone"
"account_language","Ngôn ngữ","Language"
"account_update","Cập nhật ngay","Update"
